id;titulo;conteudo;ativo;created_at;updated_at;deleted_at
65083c73-8076-4c9e-a546-dd1304bbfc5e;amongst mention inversion;../fake-data/blob/hipster.txt;true;2024-05-28T09:30:29;2024-05-27T21:21:08;2024-05-27T22:23:34
5fb1a7b5-360f-4a20-9390-f60a6aa2e49e;throughout;../fake-data/blob/hipster.txt;false;2024-05-28T07:40:39;2024-05-27T18:21:33;2024-05-28T10:50:56
9661119f-fbdc-4c09-86b3-40875f5ccab4;save;../fake-data/blob/hipster.txt;false;2024-05-27T17:22:00;2024-05-28T14:12:14;2024-05-27T22:25:59
47444755-fa0d-4172-82c0-5c6abf0ab0bc;enunciate geez phew;../fake-data/blob/hipster.txt;true;2024-05-28T04:01:34;2024-05-27T15:08:53;2024-05-28T12:04:34
b543a5f3-4eb5-4375-8cd4-d9340fbdae13;athwart warped kosher;../fake-data/blob/hipster.txt;true;2024-05-27T15:45:20;2024-05-27T19:32:46;2024-05-28T10:51:01
95db95d9-1c25-4422-b444-d57b5ce73f2f;gondola unlike fondly;../fake-data/blob/hipster.txt;false;2024-05-28T09:34:59;2024-05-27T22:35:06;2024-05-28T07:36:30
c563782e-c7a8-4e55-a3c4-6bf45dfb1b94;pro;../fake-data/blob/hipster.txt;true;2024-05-27T17:19:27;2024-05-28T06:19:12;2024-05-27T22:37:26
025de458-e08b-4446-b9dc-22c067ecff9f;like;../fake-data/blob/hipster.txt;false;2024-05-28T06:04:55;2024-05-27T18:41:09;2024-05-28T02:05:52
9d3cef75-338e-48a5-b8f2-76cb329a4b16;gadzooks;../fake-data/blob/hipster.txt;false;2024-05-27T23:27:21;2024-05-27T19:00:20;2024-05-28T14:34:01
ccd1c060-3af5-46a7-b5d5-f5b7a4aea2c6;whip talking blah;../fake-data/blob/hipster.txt;true;2024-05-28T05:35:27;2024-05-27T20:47:10;2024-05-28T00:59:26
