id;titulo;conteudo;ativo;created_at;updated_at;deleted_at
c0721d2c-9276-4758-ae45-45c27cb80254;without absentmindedly;../fake-data/blob/hipster.txt;true;2024-05-27T15:25:58;2024-05-28T08:24:11;2024-05-28T07:54:24
3f0b29ba-354d-4da9-8646-218cf9ffc86b;while;../fake-data/blob/hipster.txt;true;2024-05-28T12:28:56;2024-05-27T22:24:19;2024-05-27T16:18:03
123777a9-4cb7-4d67-9016-ee151cbc5ca0;drat return;../fake-data/blob/hipster.txt;false;2024-05-28T07:53:02;2024-05-28T07:24:13;2024-05-28T08:37:44
0bec4d60-3cc0-438d-bbe8-24c9604d4953;insistent furthermore;../fake-data/blob/hipster.txt;false;2024-05-28T13:03:16;2024-05-27T22:33:31;2024-05-28T11:07:59
51c0a5bf-1418-43e3-9d17-f372c7af732c;commonly tuition ouch;../fake-data/blob/hipster.txt;false;2024-05-28T03:19:05;2024-05-28T13:38:46;2024-05-28T03:31:07
93d8fe09-395d-4665-a315-2df64048958a;coolly towards;../fake-data/blob/hipster.txt;true;2024-05-28T02:32:36;2024-05-27T15:44:02;2024-05-28T07:06:50
b973f041-c5e9-4d40-b2d8-98ad8974afc5;past correctly;../fake-data/blob/hipster.txt;true;2024-05-28T14:46:54;2024-05-27T15:08:34;2024-05-28T07:31:24
53b8513f-8fbb-4a8b-bd88-32a7d26c04b8;calf seemingly lively;../fake-data/blob/hipster.txt;false;2024-05-28T04:07:37;2024-05-28T14:18:39;2024-05-28T04:06:07
d1544478-3168-4b3e-818e-234e90683da4;mechanically;../fake-data/blob/hipster.txt;false;2024-05-27T23:26:38;2024-05-27T23:01:08;2024-05-28T07:29:55
1e2fc0e5-4555-4424-961d-fe2ef57d4781;until pink helmet;../fake-data/blob/hipster.txt;true;2024-05-28T10:18:40;2024-05-27T20:52:23;2024-05-27T18:52:16
